,name,img url,ingredients,recipe,garnish,notes,url
32,Mayan Mule #2,https://recipe.awesomedrinks.com/media/cocktails/mayan-mule-2.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Chili Steeped Tequila'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Ginger Beer'}]","Rim glass with sugar, cinnamon and coco and set aside. Add all ingredients except ginger beer to a cocktail shaker with ice and shake for 15 seconds. Strain over ice into a highball glass and top with ginger beer.

Chili Steeped Tequila: Roast a habanero pepper or two, and peel of the skin once it crisps a bit. Take the skinless habanero and soak them in tequila (5-6 ounces or so) for 30 minutes. Use that for the tequila called for in this cocktail.

For rim: add demerara sugar, cinnamon and coco to a bowl and mix to integrate. Use that as your rim garnish. Wet the rim with lime juice.
source unknown","Cinnamon, Demerara Sugar and Coco rim","Hot and spicy fire, chocolate, tequila, spice and acidity all wrapped in more spicy heat!",https://recipe.awesomedrinks.com/recipe/mayan-mule-2/
33,Mezcal Mai Tai,https://recipe.awesomedrinks.com/media/cocktails/mezcal-mai-tai.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Mezcal'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Yellow Chartreuse'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '2', 'unit': '', 'name': 'Angostura bitters'}]","Add all ingredients over ice in a cocktail shaker and shake for 15 seconds and dump into a double old fashioned glass. If you want to stay traditional to the original Mai Tai, use half a spent lime as a garnish.
source unknown",Spent Lime,"Citrus sour, salty smoke of mezcal with a tart almond finish.",https://recipe.awesomedrinks.com/recipe/mezcal-mai-tai/
34,Nacional Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/national-daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Apricot Brandy'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '2', 'unit': 'dashes', 'name': 'Peach Bitters'}]","Add all ingredients with ice into a cocktail shaker and shake for 15 seconds. Strain into a chilled coupe glass and garnish with a lime wedge.
Hotel Nacional, Havana Cuba",Lime Wedge,Warm rum and citrus with a hint of peach in the finish; great balance of sweet against sour.,https://recipe.awesomedrinks.com/recipe/nacional-daiquiri/
35,Paloma,https://recipe.awesomedrinks.com/media/cocktails/paloma_IhrbTg3.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Blanco Tequila'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '180.0', 'unit': 'ml', 'name': 'Grapefruit Soda'}, {'amount': '1', 'unit': 'pinch', 'name': 'Salt'}]","Rim a highball with salt and add ice. Follow through with tequila, lime juice and top with your grapefruit soda. Some grapefruit soda may make your Paloma pink, others a tint of yellow.

More advanced / tequila lovers may reduce the grapefruit soda ratio to 4 ounces (120ml) to bring out more tequila notes.
source unknown",Lime Wedge,Light and carbonated grapefruit with a hint of agave,https://recipe.awesomedrinks.com/recipe/paloma/
36,Palomar,https://recipe.awesomedrinks.com/media/cocktails/The_Palomar.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Blanco Tequila'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Campari'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Simple Syrup'}, {'amount': '1', 'unit': 'dash', 'name': 'Serrano Cocktail Spice, By Drinks World'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain into an old fashioned glass with ice and garnish with a lime wheel.
Boy Drinks World",Lime Wheel,Margarita-like flavor with a spicy backend fire with a lingering yet mild bitter finish,https://recipe.awesomedrinks.com/recipe/palomar/
37,Passion Cocktail,https://recipe.awesomedrinks.com/media/cocktails/passion_cocktail.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Blanco Tequila'}, {'amount': '90.0', 'unit': 'ml', 'name': 'Cranberry Juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Orange Liqueur'}]","Add all ingredients into a cocktail shaker and shake for 15 seconds. Strain over ice into a collins glass and garnish with a lime wedge. Serve!
source unknown",Lime Wedge,"A refreshing drink with good tequila notes, a light tart and light sweet balance against sour.",https://recipe.awesomedrinks.com/recipe/passion-cocktail/
38,Passion Fruit Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/passion-fruit-daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}]","Build all ingredients in a cocktail shaker with ice and shake for 15 seconds, strain into your coupe glass and serve.
Eric Scott",None,Borders on the line of sour to super sour passion fruit tartness with lingering lime finish.,https://recipe.awesomedrinks.com/recipe/passion-fruit-daiquiri/
39,Pearl Diver,https://recipe.awesomedrinks.com/media/cocktails/Pearl_Diver.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Gardenia Mix'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}]","Add all the ingredients into a blender with 1/2 cup crushed ice and blend on high for 20 seconds or until a nice rich foam appears. Strain (or dump if you are being lazy) into a tiki mug or Pearl Diver glass if you can find one. Top with crushed ice and garnish with an orchid and pineapple leaf. We also used an old fashioned glass because it was simple.
Beachbum Berry's Sippin' Safari",Orchid and Pineapple Frond,"Coconut, allspice, nutmeg, citrus and a bit of rich rum greets your senses with every sip",https://recipe.awesomedrinks.com/recipe/pearl-diver/
40,Pearl Harbor,https://recipe.awesomedrinks.com/media/cocktails/pearl_harbor.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Midori Melon Liqueur'}, {'amount': '150.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '3', 'unit': 'dashes', 'name': 'Rhubarb Bitters'}]","Add ice to a lowball or highball, then add vodka over the ice followed by midori liqueur. Top with the pinepple juice and either stir it (for it to taste great) or leave it layered (to look great).

Want to add a more interesting twist? Add Fee Brothers Rhubarb Bitters for a great spring time flare.
Common Man Cocktails",None,Pineapple and melon flavor profile with a refreshing moderate sweetness,https://recipe.awesomedrinks.com/recipe/pearl-harbor/
41,Pina Colada,https://recipe.awesomedrinks.com/media/cocktails/pina-colada.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coco Lopez - Cream of Coconut'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Heavy Cream'}, {'amount': '180.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '180.0', 'unit': 'ml', 'name': 'Ice'}, {'amount': '1', 'unit': '', 'name': 'Luxardo Maraschino Cherry'}]","Add all ingredients to a blender and blend for 10 to 15 seconds. Optionally, add a maraschino cherry garnish if you'd like!
Common Man Cocktails",Luxardo Maraschino Cherry,Sweet coconut and that's about it. But oh so good.,https://recipe.awesomedrinks.com/recipe/pina-colada/
42,Pusser's Painkiller ™,https://recipe.awesomedrinks.com/media/cocktails/painkiller.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': ""Pusser's Rum""}, {'amount': '120.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coco Lopez - Cream of Coconut'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain over fresh ice into an old fashioned glass and garnish with a liberal amount of nutmeg.
Daphne Henderson",Nutmeg,"Smooth mouthfeel like that of a blended drink, with coconut dominating, rum on the back end and a lovely nutmeg aromatic, on the sweeter side. Not too unlike a pina colada.",https://recipe.awesomedrinks.com/recipe/pussers-painkiller-tm/
43,Rum Flower,https://recipe.awesomedrinks.com/media/cocktails/rum_flower.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Elderflower Liqueur'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Raspberry Syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds and strain into a chilled coupe glass.
Jennifer Schommer",None,"A balance of elderflower and raspberry, slightly on the fruity/sweeter side with rich molasses, brown sugar notes and a full acidic structure.",https://recipe.awesomedrinks.com/recipe/rum-flower/
44,Rye Tai,https://recipe.awesomedrinks.com/media/cocktails/Rye_Tai.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Rye Whiskey'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '10', 'unit': 'dashes', 'name': 'Angostura bitters'}]","Add all ingredients to a cocktail shaker and shake with ice for 15 seconds, strain into an ice filled old fashioned glass and serve. If you want to add some garnish flare, hold your bitters out of the recipe until the end and dash them all on top of the drink to give a white/dark contrasting look!
Nick Brown, The Spaniard, New York City",None,"Almond, cinnamon, trade spices and a finish of lightly sweet rye whiskey",https://recipe.awesomedrinks.com/recipe/rye-tai/
45,Slow Comfortable Screw,https://recipe.awesomedrinks.com/media/cocktails/slow-co-screw.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Southern Comfort'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '105.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Sloe Gin'}]","Stir juice, southern comfort and bourbon together with ice until chilled and strain over fresh ice into a highball glass. Float with sloe gin on top (it will sink) and serve.
source unknown",None,Taste like freshly squeezed orange juice with a twang of southern comfort sweetness.,https://recipe.awesomedrinks.com/recipe/slow-comfortable-screw/
46,Social Season,https://recipe.awesomedrinks.com/media/cocktails/social_season_700x700.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Aperol'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Yellow Chartreuse'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}]","Add all ingredients to a cocktail shaker with ice and shake it for 12 seconds, strain it over crushed ice, then add a bit of crushed ice on the top.
Boston Tiki Party",None,"A light bitter aperol, a flavorful sweet passion fruit, light tart, lots of flavors going on",https://recipe.awesomedrinks.com/recipe/social-season/
47,Steve's Rum Barrel,https://recipe.awesomedrinks.com/media/cocktails/Steves_Rum_Barrel.png.300x300_q85_crop.jpg,"[{'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Honey Syrup / Mix'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Dark Jamaican rum'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Light Puerto Rican Rum'}, {'amount': '1', 'unit': 'dash', 'name': 'Pernod / Absinthe'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}, {'amount': '1', 'unit': 'dash', 'name': 'Almond Extract'}]","Add all ingredients to an immersion blender with crushed ice, dump into a tiki mug. For Pernod (Absinthe) do 6 drops (roughly 1 dash), for almond extract, do 3 drops (or around that, maybe a dash)
Jeff Berry's REMIXED",None,"A bit strong on potency, a mild bitter, not too sweet, not too sour, lots of tropical flavor with a light honey finish",https://recipe.awesomedrinks.com/recipe/steves-rum-barrel/
48,Strawberry Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/strawbery-daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Rich simple syrup'}, {'amount': '2', 'unit': '', 'name': 'Strawberries'}]","Add all ingredients to a blender and add six cubes of ice (or around 8 ounces / 1 cup) and blend for 10-15 seconds or until smooth.
Common Man Cocktails",Strawberry Slice,Sweet strawberries and a light sour lime with a cold refreshing taste.,https://recipe.awesomedrinks.com/recipe/strawberry-daiquiri/
49,Suffering Bastard,https://recipe.awesomedrinks.com/media/cocktails/suffering-bastard.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Brandy / Cognac'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Ginger Beer'}, {'amount': '2', 'unit': 'dashes', 'name': 'Angostura bitters'}]","Add all ingredients except ginger beer to a cocktail shaker and shake for 15 seconds. Slowly stir ginger beer into your cocktail shaker to integrate. Then dump entire contents of your cocktail shaker into a double old fashioned glass.

Garnish with mint sprig and orange slice.
Jeff Berry REMIXED",Mint Sprig & Orange Wheel,Light and refreshing zing of ginger with mellow island spice and muted alcohols.,https://recipe.awesomedrinks.com/recipe/suffering-bastard/
50,Test Pilot,https://recipe.awesomedrinks.com/media/cocktails/test_pilot_700x700.png.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Dark Jamaican rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Light Puerto Rican Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Falernum Syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Cointreau'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}, {'amount': '1', 'unit': 'dash', 'name': 'Pernod / Absinthe'}]","Build in a mixing glass or blender with crushed ice, and blend for 5 seconds (or give it a good shake). Dump (do not strain) into a double old fashioned glass and stack with ice, and a cherry. For absinthe, we suggest a dash that's ""6 drops"" (from a dropper or 2 sprays from an atomizer)
Jeff Berry's REMIXED",Maraschino Cherry,"Mild sour, light on sweet, funky jamaican rum forward flavor",https://recipe.awesomedrinks.com/recipe/test-pilot/
51,The Batanga,https://recipe.awesomedrinks.com/media/cocktails/batanga.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Tequila'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': 'null', 'unit': 'null', 'name': 'Coca Cola'}]","Build in a highball / collins glass, add ice and follow it with lime juice, tequila and top with Coca Cola. We prefer Mexican Coca Cola as it does not contain super sweet high fructose corn syrup.

If the acidity is too high, dial back your lime juice to a quarter ounce (or just a lime quarter squeeze and drop in).
Don Javier Delgado","Lime Wedge, salt rim optional","Lightly sweet soda, a healthy bite of lime acidity, bright tequila with muted saline notes.",https://recipe.awesomedrinks.com/recipe/the-batanga/
52,The Polynesian Spell,https://recipe.awesomedrinks.com/media/cocktails/PolynesianSpell_700x700.png.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Grape Juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Triple sec'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Peach Schnapps'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients to a cocktail shaker with ice and shake for 10 seconds and strain over fresh ice into a lowball glass.
source unknown",None,"Grape Daiquiri Popsicle with a sour bite in the finish, like a sweet tart",https://recipe.awesomedrinks.com/recipe/the-polynesian-spell/
53,The White Walker,https://recipe.awesomedrinks.com/media/cocktails/white_walker.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Cinnamon syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients into a cocktail shaker with ice and shake aggressively before dumping contents into a highball glass or pilsner class (if you make multiple batches). Top with crushed ice and garnish with your favorite tropical fruits and/or pineapple leaves.
Dan Rook, South Water Kitchen, Chicago",Tropical Fruits,Flavorful pineapple and light cinnamon notes playing off the quality of your rums,https://recipe.awesomedrinks.com/recipe/the-white-walker-cocktail/
